species,taxon_name_original,taxname_source,totalinstudy,authority,family,subfamily,size,alltraits,bodylength_mm,flightless,trophicgroup,above_on_below,trophicgroupdetail,food,usual_habitat_adult,usual_habitat_larvae,introduced,Zoharas_MSP,NOTES,Count_2010,Count_2012,Wing_Type,Feeding_Group,pronotum_width,antennae_length,Colour,notes:
,Carenum sp2,NA,4,,Carabidae,Scaritini,,notall,,yes,carnivore,below,carnivore,,fossorial/nocturnal,,,,,,,,,,,,
,Carenum sp3,NA,1,,Carabidae,Scaritini,,notall,,yes,carnivore,below,carnivore,,fossorial/nocturnal,,,,,,,,,,,,
Carenum violaceum,,AFD,9,Macleay,Carabidae,Scaritini,,notall,,yes,carnivore,below,carnivore,,fossorial/nocturnal,,,,,,,,,,,,
Catasarcus armatus,,AFD,35,Blackburn,Curculionidae,Entiminae ,2,all,14,yes,herbivore,above,herbivore,,,,,34,black weevil with spiky armour,,,absent,,3,5,black,
Celibe australis,,AFD,86,Boisduval,Tenebrionidae,,2,all,15,yes,scavenger,on,scavenger,,,,,,,,,,,,,,
Celibe silphoides,,AFD,7,,Tenebrionidae,,,notall,,yes,scavenger,,scavenger,,,,,,,,,,,,,,
,Chalcopteroides sp1,NA,25,,Tenebrionidae,,2,all,19,no,scavenger,on,scavenger,,,,,65,green medium sized beetle,,,present (large),,5,4,green shine,
,Chalcopteroides sp3,NA,2,,Tenebrionidae,,,notall,,no,scavenger,,scavenger,,,,,,,,,,,,,,
,Chalcopterus sp1,NA,1,,,,,notall,,,,,,,,,,,,,,,,,,,
Chlaenius australis,,AFD,1,Dejean,Carabidae,Callistini,2,all,11,no,carnivore,concealed places/nocturnal,carnivore,Scaritini,nocturnal,,,96,green head and thorax brown irridescent elytra,,,present (large),,4,6,green shine,
Chrysobothris subsimilis,,AFD,1,"Thomson, 1879",Buprestidae,,,notall,,no,herbivore,above,herbivore,flowers,,,,,,,,,,,,,
,Cnemoplites sp.,NA,12,,Cerambycidae,Prioninae,,notall,,no,herbivore,,herbivore,,,,,,,,,,,,,,
Coccinella transversalis,,AFD,8,,Coccinellidae,,1,notall,5,no,carnivore,,carnivore,,,,,84,"ladybird, yellow with 5 fused black spots (see MSP 110)",,,large wings,,2.5,0,yellow-black patterns,
Colpochila laminata,Colpochila dubia,AFD,1,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,,in soil,,,,,,,,,,,
Colpochila mixta,,AFD,13,,Scarabaeidae,Melolonthinae,2,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
Colpochila pulchella,,AFD,3,Blackburn,Scarabaeidae,Melolonthinae,2,all,13,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,53,"large black elytra covers abdomen, furry (compare with MSP36)",,,present (large),,5,3,black,feathered anennae
Colpochila punctiventris,,AFD,1,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Colpochila sp1,NA,1,,Scarabaeidae,Melolonthinae,,notall,,no,herbivore,above,herbivore,adults foliage Eucalypts/larvae humus or roots,NA,in soil,,,,,,,,,,,
,Conoderis sp1,NA,1,,Elateridae,Agrypninae,2,notall,,no,omnivore ,on,omnivore ,plant material/insect larvae,concealed places/nocturnal,in soil,,,,,,,,,,,
Conopterum gagatinum,,AFD,113,Macleay,Carabidae,Scaritini,3,all,33,yes,carnivore,below,carnivore,,fossorial/nocturnal,,,99,"large carabid smooth shiney black long slender body slips down to a point (compare with MSP 17,19,10 - abdomen comes to abrupt end)",,,absent,predatory,10,8,black shine,long legs
Cormodes constrictus,Cormodes constricta,AFD,2,Blackburn,Cleridae,,2,notall,17,no,,,,,,,,102,long body furry with front legs like a preying mantis,,,present (small),?pollinator,4,2,brown,fur on body
Cryptodus caviceps,,AFD,2,,Scarabaeidae,Dynastinae,2,notall,,no,carnivore,below,adult carnivore/larva herbivore,larvae humus or roots,subterranean and borrowing/nocturnal,subterranean and borrowing,,,,,,,,,,,
,Cryptoryctes caviceps,NA,8,,,,3,notall,28,no,,,,,,,,42,Large brown furry,,,present (large),,10,3,brown,
,Curculionidae sp1,NA,2,,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
,Curculionidae sp2,NA,1,,Curculionidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Decilaus curvipes,,AFD,5,Lea,Curculionidae,,2,notall,17,yes,herbivore,,herbivore,,,,,107,"black weevil head scrunched up under body (see MSP 48, same body shape)",,,absent,,4,?,black,textured
Hemichnoodes parryi euclensis,Diaphonia euclensis,AFD,2,,Scarabaeidae,Cetoniinae,3,notall,,no,herbivore,above,herbivore,adults flowers/larvae rotten wood,,in rotten wood,,,,,,,,,,,
Dicranolaius eyrensis,,AFD,1,,Melyridae,,,notall,,,,,,,,,,,,,,,,,,,
Dromaeolus interioris,,AFD,13,Blackburn,Eucnemidae,,1,notall,10,no,,on,,larvae in dead wood,,,,49,brown small thorax click insect like,,,present (large),,2.5,3.5,brown - red,
,Dysarchus sp1,NA,4,,Tenebrionidae,Heleini,,notall,,yes,scavenger,below,scavenger,dead plant material,fossorial/burrowing/nocturnal,subterranean,,,,,,,,,,,
Eboo obscura,,AFD,2,,Chrysomelidae,,,notall,,,herbivore,,herbivore,,,,,,,,,,,,,,
Elaeagna variolaris,,AFD,1,Lea,Curculionidae,,1,notall,8,yes,herbivore,,herbivore,,,,,48,"mottled colouring, snout under body",,,absent,,4,0,mottled brown,patterned
,Elaptus sp.,NA,24,,Cerambycidae,,2,all,20,no,herbivore,above,herbivore,,,,,,,,,,,,,,
Epilectus fortis,,AFD,17,Blackburn,Carabidae,Scaritini,3,all,37,yes,carnivore,below,carnivore,,fossorial/nocturnal,,,,,,,,,,,,
Euryscaphus obesus,,AFD,247,Sloane,Carabidae,Scaritini,3,all,50,yes,carnivore,below,carnivore,,fossorial/nocturnal/sandy soil,,,"9,25","big jaws, round faintly ridged abdomen",,,absent,predatory,19,15,black shine,large eyes
Figulus regularis,,AFD,8,Westwood,Lucanidae,,2,notall,13,yes,,,,,,,,31,"black upturned jaws, long body ridges on abdomen",,,absent,?predatory,4,1.2,black shine,
Frenchella lubrica,,AFD,2,,Scarabaeidae,,,notall,,,,,,,,,,,,,,,,,,,
Geoscaptus laevissimus,Geoscaphus laevissimus,AFD,9,Chaudoir,Carabidae,Scaritini,3,notall,,no,carnivore,wetriparian,carnivore,,hygrophilus,,,,,,,,,,,,
Gnathaphanus melbournensis,,AFD,6,,Carabidae,Harpalini,1,all,8,no,omnivore,on,omnivore(granivore),NA,ground,,,"38,44,47","small black, shiny smooth head and ridged elytra",,,present (large),?predatory,2.5,2,black shine,
,Gnathoxys sp.,NA,211,,Carabidae,Brosini,2,all,14,yes,carnivore,below,carnivore,NA,fossorial,,,"93,112,75","small black carabids, head tucked under (slightly larger than MSP75)",,,absent,predatory,4,4,black shine,
,Gnathoxys sp1,NA,2,,Carabidae,Brosini,2,notall,,yes,carnivore,below,carnivore,NA,fossorial,,,,,,,,,,,,
,Gnathoxys sp2,NA,8,,Carabidae,Brosini,2,notall,,yes,carnivore,below,carnivore,NA,fossorial,,,,,,,,,,,,
,Haplopsis sp,NA,1,,Scarabaeidae,,,notall,,,,,,,,,,,,,,,,,,,
,Harpechys unnamed sp.,NA,1,,Scarabaeidae,,,notall,,,,,,,,,,,,,,,,,,,
