taxon_name,taxon_family,taxname_source,updated_taxon_name,notes
Ombrastacoides asperrimanus,Parastacidae,AFD,,
Ombrastacoides brevirostris,Parastacidae,AFD,,
Ombrastacoides decemdentatus,Parastacidae,AFD,,
Ombrastacoides denisoni,Parastacidae,AFD,,
Ombrastacoides dissitus,Parastacidae,AFD,,
Ombrastacoides huonensis,Parastacidae,AFD,,
Ombrastacoides ingressus,Parastacidae,AFD,,
Ombrastacoides leptomerus,Parastacidae,AFD,,
Ombrastacoides parvicaudatus,Parastacidae,AFD,,
Ombrastacoides professorum,Parastacidae,AFD,,
Ombrastacoides pulcher,Parastacidae,AFD,,
Spinastacoides catinipalmus,Parastacidae,AFD,,
Spinastacoides inermis,Parastacidae,AFD,,
Spinastacoides insignis,Parastacidae,AFD,,
Tenuibranchiurus glypticus,Parastacidae,AFD,,
Astacopsis tricornis,Parastacidae,AFD,,
Cherax cainii,Parastacidae,AFD,,
Cherax monticola,Parastacidae,NA,,
Euastacus yarreansis,Parastacidae,NA,,
Astacoides betsileoensis,Parastacidae,NA,,
Astacoides caldwelli,Parastacidae,NA,,
Astacoides granulimanus,Parastacidae,NA,,
Paranephrops planifrons,Parastacidae,NA,,
Paranephrops zealandicus,Parastacidae,NA,,
Parastacus brasiliensis,Parastacidae,NA,,
Parastacus pilimanus,Parastacidae,NA,,
