taxon_name,taxon_family,taxname_source,updated_taxon_name,notes
Euastacus guwinus,Parastacidae,AFD,,
Euastacus hirsutus,Parastacidae,AFD,,
Euastacus hystricosus,Parastacidae,AFD,,
Euastacus jagabar,Parastacidae,AFD,,
Euastacus jagara,Parastacidae,AFD,,
Euastacus kershawi,Parastacidae,AFD,,
Euastacus maidae,Parastacidae,AFD,,
Euastacus mirangudjin,Parastacidae,AFD,,
Euastacus monteithorum,Parastacidae,AFD,,
Euastacus morgani,Parastacidae,AFD,,
Euastacus neodiversus,Parastacidae,AFD,,
Euastacus neohirsutus,Parastacidae,AFD,,
Euastacus pilosus,Parastacidae,AFD,,
Euastacus polysetosus,Parastacidae,AFD,,
Euastacus reductus,Parastacidae,AFD,,
Euastacus rieki,Parastacidae,AFD,,
Euastacus robertsi,Parastacidae,AFD,,
Euastacus setosus,Parastacidae,AFD,,
Euastacus simplex,Parastacidae,AFD,,
Euastacus spinichelatus,Parastacidae,AFD,,
Euastacus spinifer,Parastacidae,AFD,,
Euastacus sulcatus,Parastacidae,AFD,,
Euastacus suttoni,Parastacidae,AFD,,
Euastacus urospinosus,Parastacidae,AFD,,
Euastacus valentulus,Parastacidae,AFD,,
Euastacus woiwuru,Parastacidae,AFD,,
Euastacus yanga,Parastacidae,AFD,,
Euastacus yarraensis,Parastacidae,AFD,,
Euastacus yigara,Parastacidae,AFD,,
Geocharax falcata,Parastacidae,AFD,,
Gramastacus insolitus,Parastacidae,AFD,,
Ombrastacoides asperrimanus,Parastacidae,AFD,,
Ombrastacoides brevirostris,Parastacidae,AFD,,
Ombrastacoides decemdentatus,Parastacidae,AFD,,
Ombrastacoides denisoni,Parastacidae,AFD,,
Ombrastacoides dissitus,Parastacidae,AFD,,
Ombrastacoides huonensis,Parastacidae,AFD,,
Ombrastacoides ingressus,Parastacidae,AFD,,
Ombrastacoides leptomerus,Parastacidae,AFD,,
Ombrastacoides parvicaudatus,Parastacidae,AFD,,
Ombrastacoides professorum,Parastacidae,AFD,,
Ombrastacoides pulcher,Parastacidae,AFD,,
Spinastacoides catinipalmus,Parastacidae,AFD,,
Spinastacoides inermis,Parastacidae,AFD,,
Spinastacoides insignis,Parastacidae,AFD,,
Tenuibranchiurus glypticus,Parastacidae,AFD,,
Euastacus maccai,Parastacidae,Catalogue of Life,,accepted name not found in AFD
Euastacus serratus,Parastacidae,NA,,"taxon_name_original cannot be traced, name has been synonymised into three different species so current name is unknown"
