Final code,Family,Subfamily,Tribe,GENUS,SPECIES,taxon_name,taxon_name_original,taxname_source,Size_mm,Flightless,Feeding
COL352,TENEBRIONIDAE,TENEBRIONINAE,,Emcephalus,,,Emcephalus COL352,,16.5,1,SAP
B173,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B173,,,0,PRE
B175,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B175,,,0,PRE
B197,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B197,,,0,PRE
B238,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B238,,,0,PRE
B297,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B297,,,0,PRE
B311,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B311,,,0,PRE
B322,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus B322,,,0,PRE
COL032,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL032,,1.7,0,PRE
COL033,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL033,,1.3,0,PRE
COL035,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL035,,1.1,0,PRE
COL074,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL074,,1.1,0,PRE
COL182,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL182,,1.2,0,PRE
COL303,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL303,,2,0,PRE
COL305,STAPHYLINIDAE,SCYDMAENINAE,,Euconnus,,,Euconnus COL305,,1.3,0,PRE
B094,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini B094,,,0,PRE
B289,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini B289,,,0,PRE
COL078,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini COL078,,1.5,0,PRE
COL150,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini COL150,,1.7,0,PRE
COL151,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini COL151,,1.2,0,PRE
COL197,STAPHYLINIDAE,PSELAPHINAE,EUPLECTINI,,,,Euplectini COL197,,1.7,0,PRE
B319,STAPHYLINIDAE,ALEOCHARINAE,,Falagria,,,Falagria B319,,,0,PRE
COL043,STAPHYLINIDAE,ALEOCHARINAE,,Falagria,,,Falagria COL043,,2.7,0,PRE
COL527,SCARABAEIDAE,MELOLONTHINAE,,Frenchella,,,Frenchella COL527,,16,0,PHY
COL102,MORDELLIDAE,,,Glipostena,,,Glipostena COL102,,4.6,0,XYL
COL543,MORDELLIDAE,,,Glipostena,,,Glipostena COL543,,2.5,0,XYL
COL328,CARABIDAE,HELLUONINI,,Helluo,,,Helluo COL328,,25,1,PRE
COL240,SCARABAEIDAE,MELOLONTHINAE,,Heteronyx,sp.,,Heteronyx sp. COL240,,9.8,0,PHY
COL068,STAPHYLINIDAE,STAPHYLININAE,,Heterothops,,,Heterothops COL068,,3.4,0,PRE
COL192,STAPHYLINIDAE,STAPHYLININAE,,Heterothops,,,Heterothops COL192,,2.9,0,PRE
COL461,STAPHYLINIDAE,ALEOCHARINAE,,Heterothops,,,Heterothops COL461,,3.1,0,PRE
COL199,CORYLOPHIDAE,CORYLOPHINAE,PELTINODINI,Holopsis,,,Holopsis COL199,,1.8,0,MYC
B265,STAPHYLINIDAE,SCYDMAENINAE,,Horaemorphus,,,Horaemorphus B265,,,,PRE
COL031,STAPHYLINIDAE,SCYDMAENINAE,,Horaeomorphus,,,Horaeomorphus COL031,,2.6,0,PRE
COL129,HYDRAENIDAE,,,Hydraena,,,Hydraena COL129,,1.6,0,PHY
B406,CARABIDAE,LEBIINAE,,,,,Lebiinae B406,,,,PRE
COL106,TENEBRIONIDAE,TENEBRIONINAE,,Lepispilus ,,,Lepispilus COL106,,16,0,SAP
COL205,TENEBRIONIDAE,LAGRIINAE,,Leptogastrus,,,Leptogastrus COL205,,5.6,1,SAP
COL216,TENEBRIONIDAE,LAGRIINAE,,Licinoma,,,Licinoma COL216,,5,1,SAP
B018,STAPHYLINIDAE,LISPININAE,,,,,Lispininae B018,,,0,PRE
B294,PHALACRIDAE,PHALACRINAE,,Litochrus,,,Litochrus B294,,,0,MYC
COL453,PHALACRIDAE,PHALACRINAE,,Litochrus,,,Litochrus COL453,,2.4,0,MYC
COL117,CURCULIONIDAE,CURCULIONINAE,ENTIMINI,Mandalotus,,,Mandalotus COL117,,2.9,1,PHY
COL118,CURCULIONIDAE,CURCULIONINAE,ENTIMINI,Mandalotus,,,Mandalotus COL118,,2.8,1,PHY
B332,MELANDRYIDAE,,,,,,Melandryidae B332,,,0,SAP
COL211,CURCULIONIDAE,CURCULIONINAE,ENTIMINI,Merimnetes,,,Merimnetes COL211,,3.6,1,PHY
COL508,CHRYSOMELIDAE,GALERUCINAE,,Monolepta,,,Monolepta COL508,,2.7,0,PHY
COL598,CHRYSOMELIDAE,GALERUCINAE,,Monolepta,,,Monolepta COL598,,3.5,0,PHY
COL583,STAPHYLINIDAE,TACHYPORINAE,,Mycetoporus,,,Mycetoporus COL583,,3.5,0,PRE
B284,MYRABOLIIDAE,,,Myrabolia,,,Myrabolia B284,,,,MYC
COL107,SALPINGIDAE,,,Neosalpingus,,,Neosalpingus COL107,,2.2,0,MYC?
B099,STAPHYLINIDAE,ALEOCHARINAE,,Ocalea?,,,Ocalea B099,,,0,PRE
COL507,OEDEMERIDAE,,,,,,Oedemeridae COL507,,6.4,0,XYL
B077,STAPHYLINIDAE,OMALIINAE,,,,,Omaliinae B077,,,0,PRE?
COL164,LAEMOPHLOEIDAE,,,Placonotus,,,Placonotus COL164,,2,0,MYC
