griis_names_untidy,taxon,note,corrected_name,exclude_JM
Potamogeton praelongus Wulf,plant,,,1
Prosopis glandulosa x velutina,plant,,,1
Psidium guajava x guineense,plant,,,1
Quercus canariensis Willd.,plant,,,1
Relchela panicoides Steud.,plant,,,1
Rhus glabra L.,plant,,,1
Rosa chinensis x moschata,plant,,,1
Rosa chinensis x multiflora,plant,,,1
Rosmarinus officinalis de NoÃ« ex Lange,plant,,,1
Salix alba x fragilis,plant,,,1
Salix alba x matsudana,plant,,,1
Salix discolor Muhl.,plant,,,1
Salix matsudana x alba,plant,,,1
Salvia viridis L.,plant,,,1
Schizachyrium condensatum Nees,plant,,,1
Schoenoplectiella juncoides Roxb. Lye,plant,,,1
Schoenoplectus californicus C.A.Mey. SojÃ¡k,plant,,,1
Scrophularia californica Cham. & Schltdl.,plant,,,1
Setaria palmifolia J.KÃ¶nig Stapf,plant,,,1
Spartina maritima Curtis Fernald,plant,,,1
Stachytarpheta cayennensis x jamaicensis,plant,,,1
Stuckenia pectinata L. BÃ¶rner,plant,,,1
Taraxacum pseudocalocephalum Soest,plant,,,1
Thaumatococcus daniellii Benth.,plant,,,1
Trifolium microdon Hook. & Arn.,plant,,,1
Verbena incompta x litoralis,plant,,,1
Ziziphus mucronata Willd.,plant,,,1
"Mustela putorius Linnaeus, 1758",Polecat,,,1
"Dipolydora flava ClaparÃ¨de, 1870",Polychaeta,marine,Dipolydora flava,1
"Hydroides sanctaecrucis KrÃ¸yer, 1863",Polychaeta,marine,Hydroides sanctaecrucis,1
"Botryllus aurantius Oka, 1927",Tunicata,marine,Botrylloides aurantium,1
"Didemnum perlucidum Monniot F., 1983",Tunicata,marine,,1
