original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Dillwynia sericea,Dillwynia sericea,Dillwynia sericea,Dillwynia sericea,Dillwynia,species,APC,accepted,Dillwynia sericea A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Dodonaea,Dodonaea sp. [Dodonaea],NA,Dodonaea sp. [Dodonaea],Dodonaea,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Dodonaea triquetra,Dodonaea triquetra,Dodonaea triquetra,Dodonaea triquetra,Dodonaea,species,APC,accepted,Dodonaea triquetra J.C.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea,species,APC,accepted,Dodonaea viscosa Jacq.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Dodonea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea,species,APC,accepted,Dodonaea viscosa Jacq.,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Doryphora sassafras,Doryphora sassafras,Doryphora sassafras,Doryphora sassafras,Doryphora,species,APC,accepted,Doryphora sassafras Endl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Drosera,Drosera sp. [Drosera],NA,Drosera sp. [Drosera],Drosera,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Drosera auriculata,Drosera auriculata,Drosera auriculata,Drosera auriculata,Drosera,species,APC,accepted,Drosera auriculata Backh. ex Planch.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Drosera binata,Drosera binata,Drosera binata,Drosera binata,Drosera,species,APC,accepted,Drosera binata Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Drosera gunniana,Drosera gunniana,NA,Drosera gunniana,Drosera,species,APNI,unplaced,Drosera gunniana (Planch.) de Salas,Exact match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2023-09-15),NA,NA
Drosera hookeri,Drosera hookeri,Drosera hookeri,Drosera hookeri,Drosera,species,APC,accepted,"Drosera hookeri R.P.Gibson, B.J.Conn & Conran",Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Drosera peltata,Drosera peltata,Drosera peltata,Drosera peltata [alternative possible names: Drosera hookeri (pro parte misapplied) | Drosera yilgarnensis (pro parte misapplied) | Drosera hookeri (misapplied) | Drosera yilgarnensis (misapplied)],Drosera,species,APC,accepted,Drosera peltata Thunb.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Drosera whittakeri,Drosera whittakeri,Drosera whittakeri,Drosera whittakeri,Drosera,species,APC,accepted,Drosera whittakeri Planch.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Dryandra arborea,Dryandra arborea,Banksia arborea,Banksia arborea,Banksia,species,APC,accepted,Banksia arborea (C.A.Gardner) A.R.Mast & K.R.Thiele,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),basionym,NA
Dryandra cirsioides,Dryandra cirsioides,Banksia cirsioides,Banksia cirsioides,Banksia,species,APC,accepted,Banksia cirsioides (Meisn.) A.R.Mast & K.R.Thiele,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Drypetes deplanchei,Drypetes deplanchei,Drypetes deplanchei,Drypetes deplanchei,Drypetes,species,APC,accepted,Drypetes deplanchei (Brongn. & Gris) Merr.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Duranta,Duranta sp. [Duranta],NA,Duranta sp. [Duranta],Duranta,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea monostachya,Ecdeiocolea,species,APC,accepted,Ecdeiocolea monostachya F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
