original_name,aligned_name,accepted_name,suggested_name,genus,taxon_rank,taxonomic_dataset,taxonomic_status,scientific_name,aligned_reason,update_reason,number_of_collapsed_taxa
Abelia,Abelia sp. [Abelia],NA,Abelia sp. [Abelia],Abelia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Acacia,Acacia sp. [Acacia],NA,Acacia sp. [Acacia],Acacia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Acacia acuminata,Acacia acuminata,Acacia acuminata,Acacia acuminata [alternative possible names: Acacia lasiocalyx (pro parte misapplied) | Acacia yorkrakinensis subsp. acrita (pro parte misapplied)],Acacia,species,APC,accepted,Acacia acuminata Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia acuminata subsp. burkittii,Acacia acuminata subsp. burkittii,Acacia burkittii,Acacia burkittii,Acacia,subspecies,APC,accepted,Acacia burkittii F.Muell. ex Benth.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Acacia aneura,Acacia aneura,Acacia aneura,Acacia aneura [alternative possible names: Acacia minyura (pro parte misapplied) | Acacia paraneura (pro parte misapplied) | Acacia quadrimarginea (misapplied)],Acacia,species,APC,accepted,Acacia aneura F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia aulacocarpa,Acacia aulacocarpa,Acacia aulacocarpa,Acacia aulacocarpa [alternative possible names: Acacia lamprocarpa (pro parte misapplied) | Acacia disparrima (misapplied) | Acacia lamprocarpa (misapplied)],Acacia,species,APC,accepted,Acacia aulacocarpa A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia baileyana,Acacia baileyana,Acacia baileyana,Acacia baileyana,Acacia,species,APC,accepted,Acacia baileyana F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia bidwillii,Acacia bidwillii,Vachellia bidwillii,Vachellia bidwillii,Vachellia,species,APC,accepted,Vachellia bidwillii (Benth.) Kodela,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Acacia binervata,Acacia binervata,Acacia binervata,Acacia binervata,Acacia,species,APC,accepted,Acacia binervata DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia blakelyi,Acacia blakelyi,Acacia blakelyi,Acacia blakelyi,Acacia,species,APC,accepted,Acacia blakelyi Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia calamifolia,Acacia calamifolia,Acacia calamifolia,Acacia calamifolia [alternative possible names: Acacia nematophylla (pro parte misapplied) | Acacia euthycarpa (misapplied)],Acacia,species,APC,accepted,Acacia calamifolia Sweet ex Lindl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia chalkeri,Acacia chalkeri,Acacia chalkeri,Acacia chalkeri,Acacia,species,APC,accepted,Acacia chalkeri Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia cincinnata,Acacia cincinnata,Acacia cincinnata,Acacia cincinnata,Acacia,species,APC,accepted,Acacia cincinnata F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia concurrens,Acacia concurrens,Acacia concurrens,Acacia concurrens,Acacia,species,APC,accepted,Acacia concurrens Pedley,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia coolgardiensis,Acacia coolgardiensis,Acacia coolgardiensis,Acacia coolgardiensis,Acacia,species,APC,accepted,Acacia coolgardiensis Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia cyclops,Acacia cyclops,Acacia cyclops,Acacia cyclops,Acacia,species,APC,accepted,Acacia cyclops A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia cyperophylla,Acacia cyperophylla,Acacia cyperophylla,Acacia cyperophylla [alternative possible names: Acacia curranii (pro parte taxonomic synonym) | Acacia gibbosa (pro parte misapplied) | Acacia sibina (misapplied)],Acacia,species,APC,accepted,Acacia cyperophylla F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia dealbata,Acacia,species,APC,accepted,Acacia dealbata Link,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia deanei,Acacia deanei,Acacia deanei,Acacia deanei,Acacia,species,APC,accepted,"Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn",Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia decurrens,Acacia decurrens,Acacia decurrens,Acacia decurrens,Acacia,species,APC,accepted,Acacia decurrens Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia doratoxylon,Acacia doratoxylon,Acacia doratoxylon,Acacia doratoxylon [alternative possible names: Acacia lasiocalyx (pro parte misapplied)],Acacia,species,APC,accepted,Acacia doratoxylon A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia falcata,Acacia falcata,Acacia falcata,Acacia falcata,Acacia,species,APC,accepted,Acacia falcata Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia filicifolia,Acacia filicifolia,Acacia filicifolia,Acacia filicifolia,Acacia,species,APC,accepted,Acacia filicifolia Cheel & M.B.Welch,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia floribunda,Acacia floribunda,Acacia floribunda,Acacia floribunda,Acacia,species,APC,accepted,Acacia floribunda (Vent.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia grasbyi,Acacia grasbyi,Acacia grasbyi,Acacia grasbyi,Acacia,species,APC,accepted,Acacia grasbyi Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia harpophylla,Acacia harpophylla,Acacia harpophylla,Acacia harpophylla,Acacia,species,APC,accepted,Acacia harpophylla F.Muell. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia holosericea,Acacia holosericea,Acacia holosericea,Acacia holosericea [alternative possible names: Acacia colei (pro parte misapplied) | Acacia colei (misapplied)],Acacia,species,APC,accepted,Acacia holosericea A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia implexa,Acacia implexa,Acacia implexa,Acacia implexa,Acacia,species,APC,accepted,Acacia implexa Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia ingramii,Acacia ingramii,Acacia ingramii,Acacia ingramii,Acacia,species,APC,accepted,Acacia ingramii Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia irrorata,Acacia irrorata,Acacia irrorata,Acacia irrorata,Acacia,species,APC,accepted,Acacia irrorata Sieber ex Spreng.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia lasiocalyx,Acacia lasiocalyx,Acacia lasiocalyx,Acacia lasiocalyx,Acacia,species,APC,accepted,Acacia lasiocalyx C.R.P.Andrews,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia leiocalyx,Acacia leiocalyx,Acacia leiocalyx,Acacia leiocalyx,Acacia,species,APC,accepted,Acacia leiocalyx (Domin) Pedley,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia leptostachya,Acacia leptostachya,Acacia leptostachya,Acacia leptostachya,Acacia,species,APC,accepted,Acacia leptostachya Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia ligulata,Acacia ligulata,Acacia ligulata,Acacia ligulata [alternative possible names: Acacia cupularis (pro parte misapplied)],Acacia,species,APC,accepted,Acacia ligulata A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia linifolia,Acacia linifolia,Acacia linifolia,Acacia linifolia [alternative possible names: Acacia fimbriata (pro parte misapplied) | Acacia gittinsii (pro parte misapplied)],Acacia,species,APC,accepted,Acacia linifolia (Vent.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia longifolia,Acacia longifolia,Acacia longifolia,Acacia longifolia,Acacia,species,APC,accepted,Acacia longifolia (Andrews) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia mangium,Acacia mangium,Acacia mangium,Acacia mangium,Acacia,species,APC,accepted,Acacia mangium Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia mearnsii,Acacia mearnsii,Acacia mearnsii,Acacia mearnsii,Acacia,species,APC,accepted,Acacia mearnsii De Wild.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia,species,APC,accepted,Acacia melanoxylon R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,Acacia,species,APC,accepted,Acacia melanoxylon R.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia mollissima,Acacia mollissima,Acacia dealbata,Acacia dealbata,Acacia,species,APC,accepted,Acacia dealbata Link,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),taxonomic synonym,NA
Acacia montana,Acacia montana,Acacia montana,Acacia montana,Acacia,species,APC,accepted,Acacia montana Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia mucronata,Acacia mucronata,Acacia mucronata,Acacia mucronata,Acacia,species,APC,accepted,Acacia mucronata Willd. ex H.L.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,Acacia myrtifolia,Acacia,species,APC,accepted,Acacia myrtifolia (Sm.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia obliquinerva,Acacia obliquinervia,Acacia obliquinervia,Acacia obliquinervia,Acacia,species,APC,accepted,Acacia obliquinervia Tindale,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia obtusifolia,Acacia obtusifolia,Acacia obtusifolia,Acacia obtusifolia,Acacia,species,APC,accepted,Acacia obtusifolia A.Cunn.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia oldfieldii,Acacia oldfieldii,Acacia oldfieldii,Acacia oldfieldii,Acacia,species,APC,accepted,Acacia oldfieldii F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Acacia oswaldii,Acacia,species,APC,accepted,Acacia oswaldii F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia papyrocarpa,Acacia papyrocarpa,Acacia papyrocarpa,Acacia papyrocarpa [alternative possible names: Acacia sp. Blyth Range (W.V.Fitzgerald s.n. 1898) (pro parte misapplied)],Acacia,species,APC,accepted,Acacia papyrocarpa Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia paradoxa,Acacia paradoxa,Acacia paradoxa,Acacia paradoxa,Acacia,species,APC,accepted,Acacia paradoxa DC.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia parramattensis,Acacia parramattensis,Acacia parramattensis,Acacia parramattensis,Acacia,species,APC,accepted,Acacia parramattensis Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia pendula,Acacia pendula,Acacia pendula,Acacia pendula,Acacia,species,APC,accepted,Acacia pendula A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia peuce,Acacia peuce,Acacia peuce,Acacia peuce,Acacia,species,APC,accepted,Acacia peuce F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia podalyriifolia,Acacia podalyriifolia,Acacia podalyriifolia,Acacia podalyriifolia,Acacia,species,APC,accepted,Acacia podalyriifolia A.Cunn. ex G.Don,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia provincialis,Acacia provincialis,Acacia provincialis,Acacia provincialis,Acacia,species,APC,accepted,Acacia provincialis A.Camus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia pycnantha,Acacia pycnantha,Acacia pycnantha,Acacia pycnantha,Acacia,species,APC,accepted,Acacia pycnantha Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia ramulosa,Acacia ramulosa,Acacia ramulosa,Acacia ramulosa,Acacia,species,APC,accepted,Acacia ramulosa W.Fitzg.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia retinodes,Acacia retinodes,Acacia retinodes,Acacia retinodes [alternative possible names: Acacia provincialis (pro parte misapplied) | Acacia uncifolia (pro parte misapplied) | Acacia anceps (misapplied)],Acacia,species,APC,accepted,Acacia retinodes Schltdl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia rostellifera,Acacia rostellifera,Acacia rostellifera,Acacia rostellifera,Acacia,species,APC,accepted,Acacia rostellifera Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia saligna,Acacia saligna,Acacia saligna,Acacia saligna [alternative possible names: Acacia cupularis (pro parte taxonomic synonym)],Acacia,species,APC,accepted,Acacia saligna (Labill.) H.L.Wendl.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia sclerosperma,Acacia sclerosperma,Acacia sclerosperma,Acacia sclerosperma,Acacia,species,APC,accepted,Acacia sclerosperma F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia shirleyi,Acacia shirleyi,Acacia shirleyi,Acacia shirleyi,Acacia,species,APC,accepted,Acacia shirleyi Maiden,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia sophorae,Acacia sophorae,Acacia longifolia subsp. sophorae,Acacia longifolia subsp. sophorae,Acacia,species,APC,accepted,Acacia longifolia subsp. sophorae (Labill.) Court,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Acacia spectabilis,Acacia spectabilis,Acacia spectabilis,Acacia spectabilis,Acacia,species,APC,accepted,Acacia spectabilis A.Cunn. ex Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,Acacia,species,APC,accepted,Acacia spilleriana J.E.Br.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia terminalis,Acacia terminalis,Acacia terminalis,Acacia terminalis [alternative possible names: Acacia alaticaulis (pro parte misapplied) | Acacia elata (misapplied)],Acacia,species,APC,accepted,Acacia terminalis (Salisb.) J.F.Macbr.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,1
Acacia trachyphloia,Acacia trachyphloia,Acacia trachyphloia,Acacia trachyphloia,Acacia,species,APC,accepted,Acacia trachyphloia Tindale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia ulicifolia,Acacia ulicifolia,Acacia ulicifolia,Acacia ulicifolia,Acacia,species,APC,accepted,Acacia ulicifolia (Salisb.) Court,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acacia veronica,Acacia veronica,Acacia veronica,Acacia veronica,Acacia,species,APC,accepted,Acacia veronica Maslin,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acer,Acer sp. [Acer],NA,Acer sp. [Acer],Acer,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea,species,APC,accepted,Achillea millefolium L.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla,species,APC,accepted,Aciphylla glacialis (F.Muell.) Benth.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acmena,Acmena sp. [Acmena],NA,Acmena sp. [Acmena],Syzygium,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-known genus (2023-09-15),NA,NA
Acmena ingens,Acmena ingens,Syzygium ingens,Syzygium ingens,Syzygium,species,APC,accepted,Syzygium ingens (F.Muell. ex C.Moore) Craven & Biffin,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Acmena smithii,Acmena smithii,Syzygium smithii,Syzygium smithii,Syzygium,species,APC,accepted,Syzygium smithii (Poir.) Nied.,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Acronychia,Acronychia sp. [Acronychia],NA,Acronychia sp. [Acronychia],Acronychia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Acronychia imperforata,Acronychia imperforata,Acronychia imperforata,Acronychia imperforata,Acronychia,species,APC,accepted,Acronychia imperforata F.Muell.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus hookeri,Acrothamnus,species,APC,accepted,Acrothamnus hookeri (Sond.) Quinn,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Actinotus helianthi,Actinotus helianthi,Actinotus helianthi,Actinotus helianthi,Actinotus,species,APC,accepted,Actinotus helianthi Labill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Adansonia,Adansonia sp. [Adansonia],NA,Adansonia sp. [Adansonia],Adansonia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Adenanthos,Adenanthos sp. [Adenanthos],NA,Adenanthos sp. [Adenanthos],Adenanthos,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Adriana hookeri,Adriana hookeri,Adriana tomentosa var. hookeri,Adriana tomentosa var. hookeri,Adriana,species,APC,accepted,Adriana tomentosa var. hookeri (F.Muell.) C.L.Gross & M.A.Whalen,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2023-09-15),nomenclatural synonym,NA
Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras corniculatum,Aegiceras,species,APC,accepted,Aegiceras corniculatum (L.) Blanco,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,Ageratum houstonianum,Ageratum,species,APC,accepted,Ageratum houstonianum Mill.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Agonis,Agonis sp. [Agonis],NA,Agonis sp. [Agonis],Agonis,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,Agonis,species,APC,accepted,Agonis flexuosa (Willd.) Sweet,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Agrostocrinum,Agrostocrinum sp. [Agrostocrinum],NA,Agrostocrinum sp. [Agrostocrinum],Agrostocrinum,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Albizia,Albizia sp. [Albizia],NA,Albizia sp. [Albizia],Albizia,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Alectryon coriaceus,Alectryon coriaceus,Alectryon coriaceus,Alectryon coriaceus,Alectryon,species,APC,accepted,Alectryon coriaceus (Benth.) Radlk.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Aleurites moluccanus,Aleurites moluccanus,Aleurites moluccanus,Aleurites moluccanus,Aleurites,species,APC,accepted,Aleurites moluccanus (L.) Willd.,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina,Allocasuarina sp. [Allocasuarina],NA,Allocasuarina sp. [Allocasuarina],Allocasuarina,genus,APC,genus accepted,NA,Exact match of the first word of the taxon name to an APC-accepted genus (2023-09-15),NA,NA
Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina,species,APC,accepted,Allocasuarina acutivalvis (F.Muell.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina acutivalvis subsp. prinsepiana,Allocasuarina,subspecies,APC,accepted,Allocasuarina acutivalvis subsp. prinsepiana (C.R.P.Andrews) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina campestris,Allocasuarina campestris,Allocasuarina campestris,Allocasuarina campestris,Allocasuarina,species,APC,accepted,Allocasuarina campestris (Diels) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina corniculata,Allocasuarina,species,APC,accepted,Allocasuarina corniculata (F.Muell.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina dielsiana,Allocasuarina,species,APC,accepted,Allocasuarina dielsiana (C.A.Gardner) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina diminuta,Allocasuarina,species,APC,accepted,Allocasuarina diminuta L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina distyla,Allocasuarina distyla,Allocasuarina distyla,Allocasuarina distyla,Allocasuarina,species,APC,accepted,Allocasuarina distyla (Vent.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina fraseriana,Allocasuarina,species,APC,accepted,Allocasuarina fraseriana (Miq.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina helmsii,Allocasuarina,species,APC,accepted,Allocasuarina helmsii (Ewart & M.Gordon) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina huegeliana,Allocasuarina,species,APC,accepted,Allocasuarina huegeliana (Miq.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina humilis,Allocasuarina humilis,Allocasuarina humilis,Allocasuarina humilis,Allocasuarina,species,APC,accepted,Allocasuarina humilis (Otto & A.Dietr.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina inophloia,Allocasuarina,species,APC,accepted,Allocasuarina inophloia (F.Muell. & F.M.Bailey) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina littoralis,Allocasuarina,species,APC,accepted,Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-15),aligned name accepted by APC,NA
